Ind_id	Homozygous	Heterozygous
Crete751	26722	10821
Crete752	26760	10542
Crete753	26585	10632
Crete754	26591	10667
Crete755	26633	10627
Crete756	26529	10801
Crete757	26563	10667
Crete758	26847	10468
Crete759	26677	10662
Crete760	26651	10827
Crete761	26602	10395
Crete762	26558	10696
Crete763	26864	10497
Crete764	26875	10445
Crete765	26751	10457
Crete766	26757	10482
Crete767	26811	10451
Crete768	26844	10626
Crete769	26878	10241
Crete770	26551	10442
Crete771	26745	10627
Crete772	26726	10506
Crete773	26927	10627
Crete774	26951	10533
Crete775	26505	10685
Crete776	26808	10506
Crete777	26729	10600
Crete778	26419	10570
Crete779	26901	10493
Crete780	26822	10619
Crete781	26530	10563
Crete782	26645	10663
Crete783	26618	10597
Crete784	26963	10290
Crete785	26716	10574
Crete786	26370	10398
Crete787	26571	10444
Crete788	26863	10645
Crete789	25771	10621
Crete790	26882	10623
Crete791	26965	10241
Crete792	26726	10473
Crete793	26804	10585
Crete794	26561	10535
Crete795	26623	10764
Crete796	26742	10487
Crete797	26667	10483
Crete798	26989	10380
Crete799	26814	10613
Crete800	26508	10787
Crete801	26738	10643
Crete802	26820	10539
Crete803	26686	10595
Crete804	26736	10693
Crete805	26528	10498
Crete806	26663	10633
Crete807	26666	10815
Crete808	26650	10496
Crete809	26723	10615
Crete810	26711	10454
Crete811	26719	10412
Crete812	26764	10531
Crete813	26564	10604
Crete814	26378	10726
Crete815	26807	10613
Crete816	26661	10769
Crete817	26619	10777
Crete818	26833	10702
Crete819	26752	10522
Algeria820	25651	10836
Algeria821	26399	10921
Algeria822	24078	11225
Algeria823	25442	10168
Algeria824	25285	10823
Algeria825	26198	10519
Algeria826	25094	10431
Algeria827	25757	10834
Algeria828	25653	10825
Algeria829	25834	10820
Algeria830	26175	10907
Algeria831	25740	10167
Algeria832	26055	10981
Algeria833	25780	10258
Algeria834	26727	10099
Algeria835	26356	10250
Algeria836	26160	10885
Algeria837	26017	10891
Algeria838	25739	10716
Egypt840	26481	10892
Egypt841	26691	10613
Egypt842	26221	10738
Egypt843	26354	11030
Egypt844	26691	11037
Egypt845	26262	10952
Egypt846	26366	11059
Egypt847	26270	10715
Egypt848	26073	10762
Egypt849	25854	10984
Egypt850	25968	10664
Egypt851	26367	10875
Egypt852	26231	10891
Egypt853	25908	10378
Egypt854	26219	10675
Egypt855	26344	10516
Egypt856	27169	9976
Egypt857	26747	10407
Libya858	26050	10683
Libya859	25860	11035
Libya860	26226	10736
Libya861	25697	10769
Libya862	25976	10828
Libya863	26103	10842
Libya864	25758	10718
Libya865	26062	11019
Libya866	26174	10768
Libya867	25574	10921
Libya868	26194	10751
Libya869	25951	10458
Libya870	26165	10761
Libya871	26182	10775
Libya872	26530	10765
Libya873	25640	10954
Libya874	25933	10904
North_Morocco875	26128	10871
North_Morocco876	25901	10664
North_Morocco877	25687	10548
North_Morocco878	25690	10556
North_Morocco879	26125	10698
North_Morocco880	25699	10850
North_Morocco881	26369	10771
North_Morocco882	26835	9944
North_Morocco883	25899	10938
North_Morocco884	26203	10724
North_Morocco885	26078	10818
North_Morocco886	25928	10551
North_Morocco887	26307	10612
North_Morocco888	26213	10680
North_Morocco889	27159	9318
North_Morocco890	25901	10767
North_Morocco891	25979	10396
North_Morocco892	25845	10642
South_Morocco893	25349	10854
South_Morocco894	25405	10176
South_Morocco895	25954	10809
South_Morocco896	25395	10887
South_Morocco897	26039	10713
South_Morocco898	25668	10650
South_Morocco899	26113	9077
South_Morocco900	24945	11060
South_Morocco901	25053	10662
South_Morocco902	26551	10245
South_Morocco903	26431	10470
South_Morocco904	25630	10844
South_Morocco905	26394	10844
South_Morocco906	26441	10280
South_Morocco907	26405	10652
South_Morocco908	25162	10345
Sahara_OCC909	25722	10931
Sahara_OCC910	25144	10970
Sahara_OCC911	25029	10517
Sahara_OCC912	25783	10378
Sahara_OCC913	25061	10783
Sahara_OCC914	25748	10659
Sahara_OCC915	26464	9944
Sahara_OCC916	26588	10239
Sahara_OCC917	25149	10848
Sahara_OCC918	26253	10667
Sahara_OCC919	26463	10352
Sahara_OCC920	26105	10552
Sahara_OCC921	26485	10620
Sahara_OCC922	26266	10518
Sahara_OCC923	26174	10886
Sahara_OCC924	24696	10419
Sahara_OCC925	25383	10719
Sahara_OCC926	26422	10239
Basque927	26708	10115
Basque928	26094	10429
Basque929	25005	10379
Basque930	25063	10307
Basque931	26026	10524
Basque932	26469	10318
Basque933	26588	10381
Basque934	26665	10387
Basque935	26023	10290
Basque936	25930	10492
Basque937	25035	10718
Basque938	25445	10622
Basque939	26289	10383
Basque940	26011	10478
Basque941	26367	10446
Basque942	26293	10255
Basque943	25552	10673
Basque944	26316	10450
Basque945	25948	10426
Basque946	25837	10495
Tunisia947	26449	10050
Tunisia948	26349	10172
Tunisia949	26247	10336
Tunisia950	26364	10459
Tunisia951	26553	10173
Tunisia952	26920	9108
Tunisia953	25833	10566
Tunisia954	26690	10050
Tunisia955	26750	9575
Tunisia956	27100	9304
Tunisia957	26051	10372
Tunisia958	26087	10492
Tunisia959	26440	10393
Tunisia960	26207	10456
Tunisia961	26923	10000
Tunisia962	26700	10178
Tunisia963	26492	10104
Tunisia964	26589	10429
